ID,"Date année","Date mois","Date jour",Départ,Arrivée,Pays,"KMs jour","KMs cumulé","Altitude (m)","Latitude degrés","Latitude minutes","Latitude décimale","Latitude radian","Longitude degrés","Longitude minutes","Longitude décimale","Longitude radian","KMs du départ (vol oiseau)","KMs du départ (corde)","KMs par étapes (segments)","KMs par étapes (cumulé)",Objet,Lieu,Contexte,Catégorie,Post,Jour,Titre,"Poids (g)","Taille (mm)",Couleur,Matière,Origine,Date,Coordonnées,,,
18,2012,10,17,St-Agnant,Floirac,France,50,761,1,45,50585,458431,8001,0,-56752,-9459,-165,3387,3387,332,510,0,"Grange à Saint Aignant",0,"Carnet de bord",1,"Jour 18","Grange à Saint Aignant",52,17,17,7,2,"mercredi 17 octobre 2012","N 45°50,585' W 0°56.752'",,,
19,2012,10,18,Floirac,Conac,France,20,781,1,45,29254,454876,7939,0,-43483,-7247,-126,3794,3794,431,5531,0,"Fiolle, commune de Floirac",0,"Carnet de bord",1,"Jour 19","Fiolle, commune de Floirac",102,32,11,0,2,"jeudi 18 octobre 2012","N 45°29,254' W 0°43,483'",,,
20,2012,10,19,Conac,Soussans,France,55,836,1,45,329,450548,7864,0,-42325,-7054,-123,4176,4175,482,6013,0,Lamarque,0,"Carnet de bord",1,"Jour 20",Lamarque,34,68,13,5,2,"vendredi 19 octobre 2012","N 45°03,290' W 0°42,325'",,,
21,2012,10,20,Soussans,Blanquefort,France,25,861,1,44,54507,449085,7838,0,-37757,-6293,-11,4342,4341,173,6186,0,Blanquefort,0,"Carnet de bord",1,"Jour 21",Blanquefort,79,111,13,5,2,"samedi 20 octobre 2012","N 44°54,507' W 0°37,757'",,,
22,2012,10,21,Blanquefort,Bordeaux,France,20,881,1,44,50009,448335,7825,0,-33932,-5655,-99,4439,4438,97,6283,0,"Bordeaux, “C’est chez nous”",0,"Carnet de bord",1,"Jour 22","Bordeaux, “C’est chez nous”",216,26,14,6,2,"dimanche 21 octobre 2012","N 44°50,009' W 0°33,932'",,,
23,2012,10,22,Bordeaux,Bordeaux,France,0,881,1,44,50003,448334,7825,0,-33899,-565,-99,444,4439,0,6284,0,"Quartier Saint Michel, Bordeaux",0,"Carnet de bord",1,"Jour 23","Quartier Saint Michel, Bordeaux",325,20,6,6,1,"lundi 22 octobre 2012","N 44°50,003' W 0°33,899'",,,
24,2012,10,23,Bordeaux,Bordeaux,France,0,881,1,44,4972,448287,7824,0,-33273,-5546,-97,4449,4448,1,6294,0,"Locaux de Recup'R, Bordeaux",0,"Carnet de bord",1,"Jour 24","Locaux de Recup'R, Bordeaux",482,16,14,2,2,"mardi 23 octobre 2012","N 44°49,720' W 0°33,273'",,,
25,2012,10,24,Bordeaux,Bordeaux,France,0,881,1,44,51581,448597,7829,0,-34266,-5711,-1,4413,4412,37,6331,0,"Bordeaux, appartement de Pascaline et George",0,"Carnet de bord",1,"Jour 25","Bordeaux, appartement de Pascaline et George",58,0,0,3,2,"mercredi 24 octobre 2012","N 44°51,581' W 0°34,266'",,,
26,2012,10,25,Bordeaux,Bordeaux,France,0,881,1,44,51595,448599,783,0,-34256,-5709,-1,4413,4412,0,6331,0,"30, rue du temple, Bordeaux",0,"Carnet de bord",1,"Jour 26","30, rue du temple, Bordeaux",94,105,7,5,2,"jeudi 25 octobre 2012","N 44°51,595' W 0°34,256'",,,
27,2012,10,26,Bordeaux,Bordeaux,France,0,881,1,44,51582,448597,7829,0,-34276,-5713,-1,4413,4412,0,6331,0,Bordeaux,0,"Carnet de bord",1,"Jour 27",Bordeaux,79,100,11,4,2,"vendredi 26 octobre 2012","N 44°51,582' W 0°34,276'",,,
28,2012,10,27,Bordeaux,Bordeaux,France,0,881,1,44,49803,448301,7824,0,-34084,-5681,-99,4441,444,33,6364,0,"Médiatèque de Pessac",0,"Carnet de bord",1,"Jour 28","Médiatèque de Pessac",162,85,15,5,2,"samedi 27 octobre 2012","N 44°49,803' W 0°34,084'",,,
29,2012,10,28,Bordeaux,Bordeaux,France,0,881,1,44,49803,448301,7824,0,-34084,-5681,-99,4441,444,0,6364,0,"Marché des Cappucins, Bordeaux",0,"Carnet de bord",1,"Jour 29","Marché des Cappucins, Bordeaux",428,106,14,2,2,"dimanche 28 octobre 2012","N 44°49,803' W 0°34,084'",,,
30,2012,10,29,Bordeaux,Bordeaux,France,0,881,1,44,51581,448597,7829,0,-34266,-5711,-1,4413,4412,33,6397,0,"Bordeaux, appartement de Pascaline et George",0,"Carnet de bord",1,"Jour 30","Bordeaux, appartement de Pascaline et George",46,0,7,4,2,"lundi 29 octobre 2012","N 44°51,581' W 0°34,266'",,,
31,2012,10,30,Bordeaux,Talence,France,10,891,1,44,48645,448108,7821,0,-35141,-5857,-102,445,4449,56,6453,0,"Petit chalet bordelais",0,"Carnet de bord",1,"Jour 31","Petit chalet bordelais",38,25,12,0,2,"mardi 30 octobre 2012","N 44°48,645' W 0°35,141'",,,
32,2012,10,31,Talence,Gujan,France,25,916,1,44,38648,446441,7792,-1,-4645,-10774,-188,4391,439,431,6883,0,"Port de Gujan",0,"Carnet de bord",1,"Jour 32","Port de Gujan",112,20,17,7,1,"mercredi 31 octobre 2012","N 44°38,648' W 1°04,645'",,,
33,2012,11,1,Gujan,Pyla-sur-mer,France,25,941,1,44,37874,446312,779,-1,-1222,-12037,-21,4353,4352,101,6984,0,"Pilat sur Mer",0,"Carnet de bord",1,"Jour 33","Pilat sur Mer",127,38,8,0,2,"jeudi 1 novembre 2012","N 44°37,874' W 1°12,220'",,,
34,2012,11,2,Pyla-sur-mer,Biscarosse-Plage,France,30,971,93,44,36087,446015,7784,-1,-12374,-12062,-211,438,4379,33,7018,0,"Dune du Pilat",0,"Carnet de bord",1,"Jour 34","Dune du Pilat",86,50,17,1,1,"vendredi 2 novembre 2012","N 44°36,087' W 1°12,374'",,,
35,2012,11,3,Biscarosse-Plage,Biscarosse,France,10,981,11,44,27015,444503,7758,-1,-15015,-12503,-218,4511,451,172,7189,0,Biscarosse-Plage,0,"Carnet de bord",1,"Jour 35",Biscarosse-Plage,43,57,12,0,2,"samedi 3 novembre 2012","N 44°27,015' W 1°15,015'",,,
36,2012,11,4,Biscarosse,Contis,France,70,1051,12,44,6161,441027,7697,-1,-18645,-13108,-229,4834,4833,39,7579,0,Contis,0,"Carnet de bord",1,"Jour 36",Contis,338,20,6,6,2,"dimanche 4 novembre 2012","N 44°06,161' W 1°18,645'",,,
37,2012,11,5,Contis,Moliets-et-Maâ,France,45,1096,10,43,57158,439526,7671,-1,-2174,-13623,-238,4968,4967,172,7751,0,"Vielle sur Gironde",0,"Carnet de bord",1,"Jour 37","Vielle sur Gironde",28,54,6,3,2,"lundi 5 novembre 2012","N 43°57,158' W 1°21,740'",,,
38,2012,11,6,Moliets-et-Maâ,Capbreton,France,30,1126,-3,43,45011,437502,7636,-1,-24075,-14013,-245,5162,5161,227,7978,0,Seignosse,0,"Carnet de bord",1,"Jour 38",Seignosse,56,56,17,1,1,"mardi 6 novembre 2012","N 43°45,011' W 1°24,075'",,,
39,2012,11,7,Capbreton,Anglet,France,35,1161,-1,43,29737,434956,7591,-1,-32769,-15462,-27,5382,538,306,8284,0,"Anglet, plage des Océanides",0,"Carnet de bord",1,"Jour 39","Anglet, plage des Océanides",49,0,13,7,1,"mercredi 7 novembre 2012","N 43°29,737' W 1°32,769'",,,
40,2012,11,8,Anglet,Bidart,France,15,1176,-1,43,29737,434956,7591,-1,-32769,-15462,-27,5382,538,0,8284,0,Anglet,0,"Carnet de bord",1,"Jour 40",Anglet,168,40,13,7,1,"jeudi 8 novembre 2012","N 43°29,737' W 1°32,769'",,,
41,2012,11,9,Bidart,Ciboure-(Socoa),France,40,1216,32,43,25445,434241,7579,-1,-36277,-16046,-28,544,5438,93,8377,0,Guéthary,0,"Carnet de bord",1,"Jour 41",Guéthary,18,25,8,5,2,"vendredi 9 novembre 2012","N 43°25,445' W 1°36,277'",,,
42,2012,11,10,Ciboure-(Socoa),San-Sebastian,Spain,45,1261,5,43,23427,433905,7573,-1,-41149,-16858,-294,5453,5452,76,8452,0,"St Jean de Luz",0,"Carnet de bord",1,"Jour 42","St Jean de Luz",35,14,1,3,2,"samedi 10 novembre 2012","N 43°23,427' W 1°41,149'",,,
43,2012,11,11,San-Sebastian,San-Sebastian,Spain,0,1261,34,43,18875,433146,756,-2,-435,-20073,-35,5453,5452,273,8726,0,"San Sebastian",0,"Carnet de bord",1,"Jour 43","San Sebastian",54,22,0,7,1,"dimanche 11 novembre 2012","N 43°18,875' W 2°00,435'",,,
44,2012,11,12,San-Sebastian,San-Sebastian,Spain,0,1261,30,43,18893,433149,756,-2,-464,-20077,-35,5453,5451,1,8726,0,"San Sebastian",0,"Carnet de bord",1,"Jour 44","San Sebastian",1,31,14,2,2,"lundi 12 novembre 2012","N 43°18,893' W 2°00,464'",,,
45,2012,11,13,San-Sebastian,Deba,Spain,50,1311,2,43,17905,432984,7557,-2,-21391,-23565,-411,5396,5394,283,9009,0,Deba,0,"Carnet de bord",1,"Jour 45",Deba,1,32,5,3,0,"mardi 13 novembre 2012","N 43°17,905' W 2°21,391'",,,
46,2012,11,14,Deba,Lekeito,Spain,25,1336,10,43,21883,433647,7569,-2,-30045,-25008,-436,5297,5296,138,9147,0,Lekeitio,0,"Carnet de bord",1,"Jour 46",Lekeitio,608,25,14,0,2,"mercredi 14 novembre 2012","N 43°21,883' W 2°30,045'",,,
47,2012,11,15,Lekeito,Bilbao,Spain,65,1401,139,43,21476,433579,7567,-2,-31416,-25236,-44,530,5299,2,9167,0,"Route de Bilbao",0,"Carnet de bord",1,"Jour 47","Route de Bilbao",2236,60,14,2,2,"jeudi 15 novembre 2012","N 43°21,476' W 2°31,416'",,,
48,2012,11,16,Bilbao,Bilbao,Spain,0,1401,106,43,16953,432826,7554,-2,-55166,-29194,-51,5321,5319,331,9498,"Jambe Barbie",Bilbao,0,"Carnet de bord",1,"Jour 48",Bilbao,108,66,3,3,2,"vendredi 16 novembre 2012","N 43°16,953' W 2°55,166'",,,
49,2012,11,17,Bilbao,Areta,Spain,25,1426,136,43,8923,431487,7531,-2,-56619,-29437,-514,5464,5463,15,9648,Ticket,Areta,0,"Carnet de bord",1,"Jour 49",Areta,66,102,6,5,2,"samedi 17 novembre 2012","N 43°08,923' W 2°56,619'",,,
50,2012,11,18,Areta,Villariezo,Spain,20,1446,832,42,204,4234,739,-3,-42238,-3704,-646,6297,6294,1093,10741,"Ticket de bus",Burgos,"Tricherie, saut en bus","Carnet de bord",1,"Jour 50",Burgos,88,140,13,5,2,"dimanche 18 novembre 2012","N 42°20,400' W 3°42,238'",,,
51,2012,11,19,Villariezo,Avellanosa-de-Muno,Spain,50,1496,840,41,58154,419692,7325,-3,-48742,-38124,-665,6705,6702,422,11163,"Objet non identifié","Avellanosa De Muno","Nuit en altitude","Carnet de bord",1,"Jour 51","Avellanosa De Muno",76,43,7,3,2,"lundi 19 novembre 2012","N 41°58,154' W 3°48,742'",,,
52,2012,11,20,Avellanosa-de-Muno,Fuentelcesped,Spain,70,1566,894,41,35273,415879,7258,-3,-37096,-36183,-632,7136,7132,454,11617,"Agraffe de fauteuil en décomposition",Fuentelcesped,"Veillée sous lune voilée","Carnet de bord",1,"Jour 52",Fuentelcesped,24,24,3,0,2,"mardi 20 novembre 2012","N 41°35,273' W 3°37,096'",,,
53,2012,11,21,Fuentelcesped,Boceguillas,Spain,50,1616,970,41,33864,415644,7254,-3,-34237,-35706,-623,7164,716,47,11665,Bijoux,"Route du lac de Mareduelo","Matinée difficile","Carnet de bord",1,"Jour 53","Route du lac de Mareduelo",261,14,11,0,2,"mercredi 21 novembre 2012","N 41°33,864' W 3°34,237'",,,
54,2012,11,22,Boceguillas,Buitrago,Spain,55,1671,1311,41,10106,411684,7185,-3,-35108,-35851,-626,7603,7599,441,12105,Quartz,"Col de Somossiera","Jour noir","Carnet de bord",1,"Jour 54","Col de Somossiera",419,20,13,6,1,"jeudi 22 novembre 2012","N 41°10,106' W 3°35,108'",,,
55,2012,11,23,Buitrago,Bustarviejo,Spain,35,1706,1228,40,51475,408579,7131,-3,-42818,-37136,-648,7943,7938,362,12467,Pellet,Bustarviejo,"Chaleur retrouvée","Carnet de bord",1,"Jour 55",Bustarviejo,157,44,17,1,2,"vendredi 23 novembre 2012","N 40°51,475' W 3°42,818'",,,
56,2012,11,24,Bustarviejo,Madrid,Spain,70,1776,592,40,23164,403861,7049,-3,-42259,-37043,-647,8468,8462,525,12992,Cire,Madrid,Couchsurfing,"Carnet de bord",1,"Jour 56",Madrid,121,25,11,3,2,"samedi 24 novembre 2012","N 40°23,164' W 3°42,259'",,,
57,2012,11,25,Madrid,Madrid,Spain,0,1776,590,40,23192,403865,7049,-3,-42345,-37058,-647,8468,8461,1,12993,"Carte à jouer",Madrid,Promenade,"Carnet de bord",1,"Jour 57",Madrid,142,87,0,5,2,"dimanche 25 novembre 2012","N 40°23,192' W 3°42,345'",,,
58,2012,11,26,Madrid,Madrid,Spain,0,1776,592,40,23164,403861,7049,-3,-42259,-37043,-647,8468,8462,1,12995,"Silicone d'écouteur",Madrid,"Pluie Madrilène","Carnet de bord",1,"Jour 58",Madrid,33,13,15,3,2,"lundi 26 novembre 2012","N 40°23,164' W 3°42,259'",,,
59,2012,11,27,Madrid,Madrid,Spain,0,1776,592,40,23164,403861,7049,-3,-42259,-37043,-647,8468,8462,0,12995,Icone,Madrid,"Métro Madrilène","Carnet de bord",1,"Jour 59",Madrid,24,160,4,5,2,"mardi 27 novembre 2012","N 40°23,164' W 3°42,259'",,,
60,2012,11,28,Madrid,Atarfe ?,Spain,25,1801,607,37,13366,372228,6497,-3,-41172,-36862,-643,11985,11968,3518,16513,"Objet non identifié",Atarfe,"Pause déjeuner","Carnet de bord",1,"Jour 60",Atarfe,73,12,15,3,2,"mercredi 28 novembre 2012","N 37°13,366' W 3°41,172'",,,
61,2012,11,29,Atarfe ?,Iznajar,Spain,80,1881,617,37,20027,373338,6516,-4,-17502,-42917,-749,11858,11841,55,17063,"Ressort de briquet","A coté d'Iznajar","Repos mérité","Carnet de bord",1,"Jour 61","A coté d'Iznajar",38,44,0,0,2,"jeudi 29 novembre 2012","N 37°20,027' W 4°17,502'",,,
62,2012,11,30,Iznajar,Iznajar,Spain,0,1881,492,37,15936,372656,6504,-4,-18608,-43101,-752,11934,11917,78,1714,Cures-dents,Iznajar,"Soirée tapas","Carnet de bord",1,"Jour 62",Iznajar,38,65,17,1,2,"vendredi 30 novembre 2012","N 37°15,936' W 4°18,608'",,,
63,2012,12,1,Iznajar,Iznajar,Spain,0,1881,616,37,20027,373338,6516,-4,-17502,-42917,-749,11858,11841,78,17218,"Terre d'olivier","Cortijo el Lanchar","Lendemain de cuite","Carnet de bord",1,"Jour 63","Cortijo el Lanchar",141,12,17,6,1,"samedi 1 décembre 2012","N 37°20,027' W 4°17,502'",,,
64,2012,12,2,Iznajar,Iznajar,Spain,0,1881,616,37,20027,373338,6516,-4,-17502,-42917,-749,11858,11841,0,17218,"Poils de barbe","Cortijo el Lanchar","Chute de cheveux","Carnet de bord",1,"Jour 64","Cortijo el Lanchar",12,0,15,7,1,"dimanche 2 décembre 2012","N 37°20,027' W 4°17,502'",,,
65,2012,12,3,Iznajar,Iznajar,Spain,0,1881,616,37,20027,373338,6516,-4,-17502,-42917,-749,11858,11841,0,17218,"Morceau de paillasson","Cortijo el Lanchar","Journée positive","Carnet de bord",1,"Jour 65","Cortijo el Lanchar",148,29,14,3,2,"lundi 3 décembre 2012","N 37°20,027' W 4°17,502'",,,
66,2012,12,4,Iznajar,Iznajar,Spain,0,1881,485,37,15445,372574,6503,-4,-18685,-43114,-752,11943,11926,87,17305,"Papiers de bonbons",Iznajar,"Emission radio","Carnet de bord",1,"Jour 66",Iznajar,12,0,13,3,2,"mardi 4 décembre 2012","N 37°15,445' W 4°18,685'",,,
67,2012,12,5,Iznajar,Iznajar,Spain,0,1881,653,37,1543,372572,6503,-4,-19503,-43251,-755,11944,11926,12,17317,Encens,Iznajar,"Journée positive","Carnet de bord",1,"Jour 67",Iznajar,28,60,17,0,2,"mercredi 5 décembre 2012","N 37°15,430' W 4°19,503'",,,
68,2012,12,6,Iznajar,Iznajar,Spain,0,1881,617,37,20027,373338,6516,-4,-17502,-42917,-749,11858,11841,9,17407,"Capsule de Canstove","Cortijo El Lanchar","Panique à bord","Carnet de bord",1,"Jour 68","Cortijo El Lanchar",33,25,14,2,2,"jeudi 6 décembre 2012","N 37°20,027' W 4°17,502'",,,
69,2012,12,7,Iznajar,Iznajar,Spain,0,1881,474,37,15936,372656,6504,-4,-18608,-43101,-752,11934,11917,78,17485,"Attache de cordon",Iznajar,"Nettoyage de vélo","Carnet de bord",1,"Jour 69",Iznajar,107,27,15,3,2,"vendredi 7 décembre 2012","N 37°15,936' W 4°18,608'",,,
70,2012,12,8,Iznajar,Iznajar,Spain,0,1881,617,37,20027,373338,6516,-4,-17502,-42917,-749,11858,11841,78,17562,Mouches,"Cortijo El Lanchar","Dépannage à distance","Carnet de bord",1,"Jour 70","Cortijo El Lanchar",1,0,15,7,1,"samedi 8 décembre 2012","N 37°20,027' W 4°17,502'",,,
71,2012,12,9,Iznajar,Iznajar,Spain,0,1881,452,37,15805,372634,6504,-4,-24515,-44086,-769,11938,11921,13,17692,"Graine non identifiée","Guevas De San Marco",Promenade,"Carnet de bord",1,"Jour 71","Guevas De San Marco",91,51,2,7,1,"dimanche 9 décembre 2012","N 37°15,805' W 4°24,515'",,,
72,2012,12,10,Iznajar,Antequera,Spain,40,1921,504,37,6239,37104,6476,-4,-32027,-45338,-791,12118,1210,209,17901,"Fragment de canne à pêche",Antequera,"Nuit dans une oliveraie","Carnet de bord",1,"Jour 72",Antequera,17,42,15,3,2,"lundi 10 décembre 2012","N 37°06,239' W 4°32,027'",,,
73,2012,12,11,Antequera,Almogia,Spain,45,1966,957,36,57849,369642,6451,-4,-30722,-4512,-787,12273,12254,157,18058,"Epingle à cheveux","Col du Torcal",Grimpette,"Carnet de bord",1,"Jour 73","Col du Torcal",54,49,15,2,2,"mardi 11 décembre 2012","N 36°57,849' W 4°30,722'",,,
74,2012,12,12,Almogia,Melilla,Spain,40,2006,168,36,4814,368023,6423,-4,-29507,-44918,-784,12452,12433,181,18239,"Nid de guêpe","Route de Malaga","Course contre la montre","Carnet de bord",1,"Jour 74","Route de Malaga",7,26,17,7,1,"mercredi 12 décembre 2012","N 36°48,140' W 4°29,507'",,,
75,2012,12,13,Melilla,Route-de-Segangan,Morocco,25,2031,1,35,17872,352979,6161,-2,-56181,-29364,-512,14154,14125,2181,2042,"Verre dépoli",Melilla,"Nuit en zone militaire","Carnet de bord",1,"Jour 75",Melilla,1015,0,6,8,2,"jeudi 13 décembre 2012","N 35°17,872' W 2°56,181'",,,
76,2012,12,14,Route-de-Segangan,El-Kandoussi,Morocco,35,2066,596,35,1376,352293,6149,-2,-58743,-29791,-52,14228,14199,86,20505,"Graine d'eucalyptus","Route de Zeghanghane","Vue sur minaret","Carnet de bord",1,"Jour 76","Route de Zeghanghane",91,17,17,7,1,"vendredi 14 décembre 2012","N 35°13,760' W 2°58,743'",,,
77,2012,12,15,El-Kandoussi,Tiztoutine,Morocco,45,2111,172,35,4299,350717,6121,-3,-12784,-32131,-561,14392,14361,276,20781,"Patte de lézard","Route de Tiztoutine","Oued à sec","Carnet de bord",1,"Jour 77","Route de Tiztoutine",76,45,17,7,1,"samedi 15 décembre 2012","N 35°04,299' W 3°12,784'",,,
78,2012,12,16,Tiztoutine,Driouch,Morocco,25,2136,368,34,56781,349464,6099,-3,-235,-33917,-592,14525,14493,214,20995,"Fragments de carrelage",Driouch,"Mal bouffe","Carnet de bord",1,"Jour 78",Driouch,187,15,17,6,2,"dimanche 16 décembre 2012","N 34°56,781' W 3°23,500'",,,
79,2012,12,17,Driouch,Ain-Zorha,Morocco,45,2181,463,34,52318,34872,6086,-3,-23101,-3385,-591,14607,14575,83,21078,"Collier de serrage","Route d'Ain Zorah",Arnaque,"Carnet de bord",1,"Jour 79","Route d'Ain Zorah",48,54,4,3,2,"lundi 17 décembre 2012","N 34°52,318' W 3°23,101'",,,
80,2012,12,18,Ain-Zorha,Oued-Msoun,Morocco,35,2216,602,34,2762,344603,6014,-3,-44176,-37363,-652,15056,15021,559,21637,"Fragments d'épineux et laine de mouton","Oued Msoun","Pemière nuit à deux","Carnet de bord",1,"Jour 80","Oued Msoun",13,60,17,7,1,"mardi 18 décembre 2012","N 34°27,620' W 3°44,176'",,,
81,2012,12,19,Oued-Msoun,Taza,Morocco,55,2271,417,34,13347,342225,5973,-4,-528,-40088,-7,15318,15281,364,22002,"Cachet de paracetamol",Taza,"Coup de froid","Carnet de bord",1,"Jour 81",Taza,69,28,14,0,2,"mercredi 19 décembre 2012","N 34°13,347' W 4°00,528'",,,
82,2012,12,20,Taza,Taza,Morocco,0,2271,417,34,13347,342225,5973,-4,-528,-40088,-7,15318,15281,0,22002,"Fragments du mur de la chambre d'hôtel","Hôtel Guillaumtell",Pause,"Carnet de bord",1,"Jour 82","Hôtel Guillaumtell",171,0,13,6,1,"jeudi 20 décembre 2012","N 34°13,347' W 4°00,528'",,,
83,2012,12,21,Taza,Oued-Amlil,Morocco,25,2296,484,34,13418,342236,5973,-4,-463,-40077,-699,15317,1528,2,22003,"Étiquette aluminium",Taza,"Départ de Taza","Carnet de bord",1,"Jour 83",Taza,94,30,15,2,2,"vendredi 21 décembre 2012","N 34°13,418' W 4°00,463'",,,
84,2012,12,22,Oued-Amlil,Lac-Idriss-1er,Morocco,45,2341,295,34,11549,341925,5968,-4,-15852,-42642,-744,15352,15315,238,22242,Bague,"Sidi Abdallah Des Rhiata","Pause clémentine","Carnet de bord",1,"Jour 84","Sidi Abdallah Des Rhiata",12,12,14,2,2,"samedi 22 décembre 2012","N 34°11,549' W 4°15,852'",,,
